%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=210733, 2015/04/21 18:5:44.34)
1 12  1.334205023090286700e-02 0 0 1.093728e+00 7.320285e-01 1.097644e+00 9.858281e-01 9.877409e+00 9.917705e+00 1.013043e+01 9.931885e+00 1.024820e+00 -3.153589e-02 1.839986e-01 
2 23  1.323910142405824300e-02 0 0 1.180601e+00 7.080254e-01 1.169293e+00 9.020996e-01 1.012161e+01 1.001632e+01 1.026722e+01 9.904467e+00 1.020877e+00 -3.694725e-02 1.755845e-01 
3 34  3.724026590877215700e-03 0 0 9.235738e-01 9.216789e-01 9.269515e-01 9.182247e-01 9.999309e+00 9.999607e+00 1.000011e+01 1.000640e+01 1.126541e+00 1.346921e-01 3.638206e-01 
4 45  1.419315655104649600e-03 0 0 1.199776e+00 4.440208e-01 1.044025e+00 6.816356e-01 1.006079e+01 1.005609e+01 1.004088e+01 1.004424e+01 1.224240e+00 2.811134e-02 3.182664e-01 
5 56  4.981304898384674800e-04 0 0 1.129068e+00 3.479645e-01 9.176639e-01 8.818101e-01 9.972635e+00 9.999279e+00 9.888953e+00 1.033796e+01 1.044976e+00 3.433746e-02 5.579156e-01 
6 67  4.437188439000659900e-04 0 0 1.200437e+00 3.747710e-02 1.019625e+00 6.704237e-01 9.909103e+00 1.025993e+01 1.022571e+01 1.040052e+01 1.224403e+00 7.147061e-03 7.011676e-01 
7 78  4.536623858366028100e-04 0 0 1.071250e+00 7.354135e-02 6.073861e-01 9.233823e-01 1.016432e+01 1.014226e+01 1.047773e+01 1.005044e+01 1.411385e+00 4.446852e-02 8.873264e-01 
8 89  4.424079661434097600e-04 0 0 1.007137e+00 3.530521e-02 4.716200e-01 4.850704e-01 9.759998e+00 9.827215e+00 9.784295e+00 1.030721e+01 1.177500e+00 -2.094763e-01 7.982205e-01 
9 100  3.210409643504507600e-04 0 0 8.847289e-01 -1.070834e-01 9.207770e-01 5.215487e-01 9.736316e+00 9.981740e+00 1.002810e+01 9.809410e+00 1.127490e+00 -5.359651e-01 9.390013e-01 
10 111  2.283848227507001800e-04 0 0 4.168622e-01 -5.322897e-02 1.064096e+00 6.700820e-01 9.772953e+00 9.858258e+00 9.693843e+00 1.013716e+01 1.398649e+00 -2.397785e-02 8.169696e-01 
11 122  4.480965560704448900e-04 0 0 1.144917e+00 -4.787919e-02 4.727284e-01 1.048625e+00 9.802701e+00 9.850978e+00 9.427420e+00 1.020065e+01 7.827478e-01 -3.231751e-02 6.680414e-01 
