%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=206449, 2015/03/8 1:29:8.49)
1 14 9.258497e-03 1.077532e+00  4.984979999999999900e+02  5.568469999999999800e+02  2.841307028132156900e+31  2.519110984786204600e+32
2 27 8.722471e-03 1.092924e+00  4.984979999999999900e+02  5.294930000000000500e+02  6.380016335250618800e+30  1.568856839822007800e+32
3 40 8.238426e-03 1.115533e+00  4.786890000000000200e+02  4.786890000000000200e+02  2.749155996269682100e+31  2.529273652719522800e+32
4 53 8.061738e-03 1.161112e+00  4.463170000000000100e+02  4.463170000000000100e+02  8.004182490046884500e+31  2.490276971168039400e+32
5 66 7.926230e-03 1.188287e+00  4.463170000000000100e+02  5.294139999999999900e+02  4.805434053895324800e+31  2.535097443987540300e+32
6 79 7.929658e-03 1.210714e+00  4.463170000000000100e+02  5.585879999999999700e+02  5.393400662063408400e+31  2.522010847465549600e+32
7 92 8.283720e-03 1.273715e+00  4.463170000000000100e+02  5.493390000000000600e+02  1.104494722632406600e+31  1.532339695396751800e+32
8 105 8.642616e-03 1.319891e+00  4.463170000000000100e+02  5.922319999999999700e+02  4.152341586657847900e+30  8.734873455107251300e+31
9 118 9.027398e-03 1.384637e+00  4.463170000000000100e+02  5.637680000000000300e+02  2.812971103951594200e+31  1.541629389626431400e+32
10 131 9.761358e-03 1.484149e+00  4.463170000000000100e+02  5.484189999999999800e+02  3.476924459175329100e+31  1.530487813699192100e+32
11 144 1.055185e-02 1.559863e+00  4.463170000000000100e+02  5.514560000000000200e+02  8.915293163774490600e+31  1.524944247792220500e+32
12 157 1.082822e-02 1.611566e+00  4.463170000000000100e+02  5.095779999999999700e+02  2.743699482383844400e+30  1.530487813699192100e+32
13 170 1.073814e-02 1.671840e+00  4.463170000000000100e+02  5.178869999999999400e+02  7.190599999999999500e+02  1.578345482132000400e+32
14 183 1.050101e-02 1.701398e+00  4.463170000000000100e+02  5.472640000000000100e+02  4.159756611422496400e+31  1.524944247792220500e+32
15 196 1.043814e-02 1.732061e+00  4.463170000000000100e+02  5.594280000000000000e+02  4.507436483905587300e+30  1.558478656144268600e+32
16 209 1.026680e-02 1.779696e+00  4.463170000000000100e+02  5.235180000000000300e+02  1.134509403141710800e+30  1.533266392290812500e+32
17 222 9.874805e-03 1.795265e+00  4.463170000000000100e+02  5.346920000000000100e+02  5.207283641668689700e+30  1.525866918614636400e+32
18 235 9.257590e-03 1.833051e+00  4.463170000000000100e+02  5.551970000000000000e+02  1.724077342129666300e+31  1.145717709989643600e+32
19 248 8.846728e-03 1.874110e+00  4.463170000000000100e+02  5.286559999999999500e+02  6.882553778640940400e+28  1.501130357190933000e+32
20 261 8.317200e-03 1.900390e+00  4.463170000000000100e+02  5.213769999999999500e+02  9.880645930748290900e+29  2.256922425113074400e+32
21 274 8.231084e-03 1.918286e+00  4.463170000000000100e+02  4.877900000000000200e+02  1.983988677116804400e+28  2.470270262112156700e+32
22 287 7.964048e-03 1.946888e+00  4.463170000000000100e+02  4.979340000000000300e+02  1.483040308229761600e+32  2.992613574101410500e+32
23 300 7.558036e-03 1.963149e+00  4.463170000000000100e+02  5.294479999999999800e+02  8.657008533648298300e+30  1.539767406168517500e+32
24 313 7.459592e-03 1.990317e+00  4.463170000000000100e+02  5.107210000000000000e+02  4.239587783522522300e+30  8.892558780566950900e+31
25 326 7.196295e-03 2.002231e+00  4.463170000000000100e+02  5.280950000000000300e+02  2.358690433895037900e+30  3.189422284691285800e+32
26 339 6.864740e-03 2.023053e+00  4.463170000000000100e+02  5.359700000000000300e+02  9.821643775614619400e+28  1.512995135705662100e+32
27 352 6.788265e-03 2.038229e+00  4.463170000000000100e+02  5.763750000000000000e+02  2.064869251342962400e+30  1.527713767724186000e+32
28 365 6.376736e-03 2.045204e+00  4.463170000000000100e+02  5.921349999999999900e+02  2.924127129809953500e+29  1.266278326323885800e+31
29 378 6.050007e-03 2.065428e+00  4.463170000000000100e+02  6.036119999999999700e+02  1.457090486861940300e+29  8.751647090825528200e+31
30 391 5.716098e-03 2.078162e+00  4.463170000000000100e+02  5.604819999999999700e+02  6.191359999999999700e+02  1.289448666353115000e+32
31 404 5.499582e-03 2.095226e+00  4.463170000000000100e+02  5.738479999999999600e+02  6.090789999999999500e+02  1.499312458098647400e+32
32 417 5.425328e-03 2.123489e+00  4.463170000000000100e+02  4.886890000000000200e+02  5.892509999999999800e+02  1.526790091844240800e+32
33 430 5.363136e-03 2.138712e+00  4.463170000000000100e+02  4.936469999999999900e+02  5.724510000000000200e+02  1.217554521186202200e+32
34 443 5.363526e-03 2.151537e+00  4.463170000000000100e+02  4.891879999999999900e+02  5.318490000000000500e+02  1.502040050438047500e+32
35 456 5.354682e-03 2.189772e+00  4.463170000000000100e+02  4.904130000000000100e+02  2.583044426880610800e+29  1.524022079133935000e+32
36 469 5.204945e-03 2.236288e+00  4.463170000000000100e+02  5.227599999999999900e+02  7.609583501588058600e+20  1.532339695396751800e+32
37 482 5.003286e-03 2.240645e+00  4.463170000000000100e+02  5.130770000000000000e+02  1.697035564832809500e+31  1.519418759804824400e+32
38 495 4.780304e-03 2.247830e+00  4.463170000000000100e+02  5.054649999999999700e+02  5.729289999999999700e+02  1.524022079133935000e+32
39 508 4.710816e-03 2.267373e+00  4.463170000000000100e+02  5.032440000000000300e+02  1.455713784025309600e+28  1.519418759804824400e+32
40 521 4.687749e-03 2.284993e+00  4.463170000000000100e+02  4.890480000000000000e+02  5.432599999999999900e+02  3.993765649067504600e+31
