%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=212192, 2015/03/6 17:56:24.93)
1 14 4.653775e-03 1.049517e+00 9.538366e-01 9.538366e-01 9.574792e-01 9.608652e-01 9.610732e-01 9.617338e-01 9.687882e-01 9.700816e-01 9.737075e-01 9.823817e-01 9.827057e-01 9.838567e-01 9.850416e-01 9.852739e-01 9.889777e-01 9.950961e-01 1.000261e+00 1.005368e+00 1.005470e+00 1.006304e+00 1.026590e+00 1.049517e+00 
2 27 4.447381e-03 1.034866e+00 9.176423e-01 9.176423e-01 9.388273e-01 9.436652e-01 9.453524e-01 9.485282e-01 9.507124e-01 9.508212e-01 9.513504e-01 9.607364e-01 9.671402e-01 9.700756e-01 9.707250e-01 9.748629e-01 9.784538e-01 9.825192e-01 9.857314e-01 1.000454e+00 1.007753e+00 1.023026e+00 1.027654e+00 1.034866e+00 
3 40 4.149970e-03 1.048137e+00 8.785742e-01 8.785742e-01 9.017047e-01 9.078716e-01 9.092721e-01 9.354293e-01 9.391252e-01 9.419659e-01 9.469564e-01 9.495068e-01 9.500239e-01 9.541688e-01 9.601319e-01 9.755094e-01 9.806379e-01 9.829203e-01 9.865861e-01 1.001206e+00 1.007202e+00 1.012744e+00 1.016391e+00 1.048137e+00 
4 53 3.939016e-03 1.054615e+00 8.483870e-01 8.483870e-01 8.777132e-01 8.885653e-01 9.027705e-01 9.109629e-01 9.135940e-01 9.204400e-01 9.290623e-01 9.304615e-01 9.360558e-01 9.367236e-01 9.512434e-01 9.550834e-01 9.670883e-01 9.677381e-01 9.893946e-01 9.902133e-01 9.913017e-01 1.005336e+00 1.023919e+00 1.054615e+00 
5 66 3.843879e-03 1.033926e+00 8.127719e-01 8.127719e-01 8.693024e-01 8.936723e-01 8.975224e-01 9.050688e-01 9.109478e-01 9.135808e-01 9.187557e-01 9.242909e-01 9.309899e-01 9.445817e-01 9.446411e-01 9.467932e-01 9.700797e-01 9.787554e-01 9.833146e-01 9.961139e-01 1.008251e+00 1.009585e+00 1.020137e+00 1.033926e+00 
6 79 3.712316e-03 1.076095e+00 7.890690e-01 7.890690e-01 8.558238e-01 8.693672e-01 8.730941e-01 8.941358e-01 8.968704e-01 9.005129e-01 9.064541e-01 9.116106e-01 9.198977e-01 9.309379e-01 9.415206e-01 9.422530e-01 9.459343e-01 9.691583e-01 9.896953e-01 1.007253e+00 1.020905e+00 1.028832e+00 1.042894e+00 1.076095e+00 
7 92 3.601371e-03 1.085661e+00 7.628535e-01 7.628535e-01 8.477785e-01 8.502832e-01 8.856952e-01 8.899678e-01 8.929038e-01 8.946522e-01 9.019279e-01 9.048460e-01 9.127317e-01 9.378881e-01 9.387224e-01 9.437657e-01 9.569322e-01 9.627794e-01 9.910318e-01 9.919055e-01 1.001380e+00 1.022429e+00 1.074230e+00 1.085661e+00 
8 105 3.473802e-03 1.089776e+00 7.810836e-01 7.810836e-01 8.367065e-01 8.446012e-01 8.550088e-01 8.599661e-01 8.646709e-01 8.729989e-01 8.902514e-01 8.908337e-01 9.001462e-01 9.207914e-01 9.329539e-01 9.475630e-01 9.536361e-01 9.663699e-01 9.720897e-01 9.758462e-01 9.936208e-01 1.023531e+00 1.044173e+00 1.089776e+00 
9 118 3.338279e-03 1.076981e+00 7.882108e-01 7.882108e-01 8.401357e-01 8.470734e-01 8.574706e-01 8.686635e-01 8.702206e-01 8.813173e-01 8.846649e-01 8.903200e-01 8.926302e-01 8.964048e-01 8.964865e-01 9.144235e-01 9.261109e-01 9.428385e-01 9.893194e-01 1.007400e+00 1.013674e+00 1.015128e+00 1.036480e+00 1.076981e+00 
10 131 3.404034e-03 1.121842e+00 7.671769e-01 7.671769e-01 8.206955e-01 8.382816e-01 8.450067e-01 8.485242e-01 8.647154e-01 8.685164e-01 8.725923e-01 8.808422e-01 8.842358e-01 8.950299e-01 8.968484e-01 9.337156e-01 9.462966e-01 9.871130e-01 1.003466e+00 1.012042e+00 1.037963e+00 1.052336e+00 1.090085e+00 1.121842e+00 
