%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=206449, 2015/03/8 1:29:8.49)
1 14  5.568469999999999800e+02 0 0 8.437714e-01 3.580752e-03 2.290562e-01 -3.538283e-01 -7.691716e-02 -3.973121e-01 2.681193e-01 2.793347e-01 -6.690962e-02 9.271247e-02 -1.388866e-01 -1.872016e-01 6.930081e-03 2.252334e-01 8.484177e-02 4.051686e-01 -3.451159e-01 -3.633331e-02 -2.820314e-01 -3.866326e-01 -1.116632e-01 
2 27  5.294930000000000500e+02 0 0 8.438747e-01 1.509527e-02 2.215040e-01 -3.576845e-01 -7.653649e-02 -4.069775e-01 2.733104e-01 2.838008e-01 -5.841446e-02 9.075226e-02 -1.376837e-01 -1.848702e-01 1.353319e-02 2.305390e-01 8.608872e-02 3.902506e-01 -3.482891e-01 -3.431629e-02 -2.802127e-01 -3.974700e-01 -1.078251e-01 
3 40  4.786890000000000200e+02 0 0 8.399680e-01 2.203220e-02 2.088269e-01 -3.554460e-01 -7.766452e-02 -4.232984e-01 2.708200e-01 2.908762e-01 -5.995153e-02 9.808888e-02 -1.367336e-01 -1.869497e-01 1.135589e-02 2.255649e-01 8.728618e-02 3.950312e-01 -3.530723e-01 -2.459132e-02 -2.835468e-01 -3.848654e-01 -1.122617e-01 
4 53  4.463170000000000100e+02 0 0 8.440113e-01 8.377710e-03 2.094537e-01 -3.705880e-01 -5.381121e-02 -4.164306e-01 2.838786e-01 2.743277e-01 -5.866510e-02 9.233563e-02 -1.274859e-01 -1.768027e-01 2.268610e-02 2.258686e-01 8.315571e-02 4.172306e-01 -3.314714e-01 -2.856155e-02 -2.825737e-01 -3.754014e-01 -9.668068e-02 
5 66  5.294139999999999900e+02 0 0 8.485628e-01 1.269915e-02 2.239498e-01 -3.767433e-01 -6.312620e-02 -3.934466e-01 2.730157e-01 2.794646e-01 -4.352872e-02 7.485660e-02 -1.367267e-01 -1.872169e-01 2.601427e-02 2.416511e-01 7.413170e-02 4.115472e-01 -3.456367e-01 -9.881204e-03 -2.758523e-01 -3.883151e-01 -1.020649e-01 
6 79  5.585879999999999700e+02 0 0 8.334373e-01 1.649077e-02 2.248097e-01 -3.684658e-01 -6.048480e-02 -3.957557e-01 2.719156e-01 2.667852e-01 -6.503616e-02 7.190441e-02 -1.310810e-01 -1.959000e-01 2.699604e-02 2.487980e-01 8.758048e-02 4.091999e-01 -3.377715e-01 -2.218550e-02 -2.893251e-01 -3.868761e-01 -1.063596e-01 
7 92  5.493390000000000600e+02 0 0 8.383740e-01 1.048037e-02 2.335038e-01 -3.669146e-01 -5.133263e-02 -3.953666e-01 2.802076e-01 2.643915e-01 -8.289122e-02 8.196489e-02 -1.194191e-01 -1.972606e-01 3.221050e-02 2.323889e-01 8.238105e-02 4.122982e-01 -3.426014e-01 -1.916153e-02 -2.976669e-01 -3.841422e-01 -1.041703e-01 
8 105  5.922319999999999700e+02 0 0 8.509307e-01 1.130666e-02 2.318242e-01 -3.694503e-01 -5.794261e-02 -3.965095e-01 2.744724e-01 2.637316e-01 -7.576489e-02 7.894650e-02 -1.441578e-01 -2.043948e-01 3.736513e-02 2.449859e-01 9.005356e-02 4.015711e-01 -3.408539e-01 -2.074259e-02 -2.737025e-01 -4.021882e-01 -9.952335e-02 
9 118  5.637680000000000300e+02 0 0 8.284254e-01 7.716512e-03 2.245240e-01 -3.812892e-01 -4.978065e-02 -3.941411e-01 2.814129e-01 2.637140e-01 -7.325830e-02 6.972314e-02 -1.501541e-01 -2.047529e-01 3.373819e-02 2.250114e-01 9.002679e-02 4.165023e-01 -3.369352e-01 -1.228080e-02 -2.714652e-01 -4.004671e-01 -1.095889e-01 
10 131  5.484189999999999800e+02 0 0 8.511721e-01 -3.905468e-03 2.330513e-01 -3.630714e-01 -6.541102e-02 -3.854301e-01 2.718391e-01 2.489023e-01 -8.814063e-02 9.169282e-02 -1.602481e-01 -2.110750e-01 4.175944e-02 2.240110e-01 8.847020e-02 4.239934e-01 -3.442081e-01 -1.985605e-02 -2.600577e-01 -4.099211e-01 -1.069416e-01 
