%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=205830, 2015/04/21 2:8:8.30)
1 13 9.078414e-02 1.105946e+00  1.406493585701498800e-04  1.419031193893346300e-04                       Inf                       Inf
2 25 8.497956e-02 1.133474e+00  1.375556383205035000e-04  1.375556383205035000e-04  1.512323343678793100e-04                       Inf
3 37 8.116435e-02 1.171713e+00  1.375556383205035000e-04  1.417801522978788600e-04  1.574610417101775100e-04                       Inf
4 49 7.609567e-02 1.199891e+00  1.316276599624434900e-04  1.316276599624434900e-04  1.490343151668861200e-04                       Inf
5 61 7.398493e-02 1.202199e+00  1.316276599624434900e-04  1.336563250972404000e-04  1.534850111377794700e-04                       Inf
6 73 7.226403e-02 1.208645e+00  1.316276599624434900e-04  1.351627930605573600e-04  1.449308380950862900e-04                       Inf
7 85 7.030091e-02 1.214955e+00  1.298595785035930600e-04  1.298595785035930600e-04  1.403641122943061200e-04                       Inf
8 97 6.862732e-02 1.225732e+00  1.289911662062746400e-04  1.289911662062746400e-04  1.370738393462418000e-04                       Inf
9 109 6.725606e-02 1.264696e+00  1.289911662062746400e-04  1.311368876021657200e-04  1.366324639399235100e-04                       Inf
10 121 6.617620e-02 1.309719e+00  1.276797978581071700e-04  1.276797978581071700e-04  1.391074607656711900e-04                       Inf
11 133 6.823171e-02 1.352758e+00  1.246225305581090400e-04  1.246225305581090400e-04  1.318485106846723100e-04  1.369777205579582300e-04
12 145 6.773547e-02 1.387995e+00  1.246225305581090400e-04  1.253260490934056800e-04  1.366612425812744300e-04                       Inf
13 157 6.958434e-02 1.464472e+00  1.246225305581090400e-04  1.246958497844961900e-04  1.287179652176292700e-04                       Inf
14 169 7.197464e-02 1.544272e+00  1.243229189095633800e-04  1.243229189095633800e-04  1.291927667178089900e-04                       Inf
15 181 7.347041e-02 1.602198e+00  1.228700109515084700e-04  1.228700109515084700e-04  1.329995109361727800e-04  1.477485340959185200e-04
16 193 7.647947e-02 1.665816e+00  1.228700109515084700e-04  1.230196630805191300e-04  1.265175923799078600e-04                       Inf
17 205 7.712944e-02 1.723019e+00  1.195450615281928700e-04  1.195450615281928700e-04  1.285057144806812200e-04                       Inf
18 217 7.704821e-02 1.774954e+00  1.195450615281928700e-04  1.204041900175947400e-04  1.247461847298448300e-04  1.364230597685764200e-04
19 229 7.850059e-02 1.826152e+00  1.195450615281928700e-04  1.196359296212640600e-04  1.280356392023393100e-04                       Inf
20 241 8.212350e-02 1.942658e+00  1.173976004341549700e-04  1.173976004341549700e-04  1.210445766429253900e-04                       Inf
21 253 8.530604e-02 2.029587e+00  1.146232887561498700e-04  1.146232887561498700e-04  1.247428591281166400e-04                       Inf
22 265 8.362674e-02 2.097023e+00  1.146232887561498700e-04  1.197303458318046500e-04  1.260947920051271600e-04                       Inf
23 277 8.615335e-02 2.191350e+00  1.146232887561498700e-04  1.148938637596023100e-04  1.246768366243405800e-04                       Inf
24 289 8.861947e-02 2.204249e+00  1.146232887561498700e-04  1.160256885363916900e-04  1.194843587806991300e-04                       Inf
25 301 9.165895e-02 2.254802e+00  1.145068557525106100e-04  1.145068557525106100e-04  1.216003666214895700e-04                       Inf
26 313 9.510823e-02 2.328781e+00  1.124691517694264800e-04  1.124691517694264800e-04  1.197089771122039700e-04                       Inf
27 325 9.822378e-02 2.354641e+00  1.124691517694264800e-04  1.139126977431010300e-04  1.199273279551529100e-04  1.309240655156679100e-04
28 337 1.009388e-01 2.453729e+00  1.098678264757470800e-04  1.098678264757470800e-04  1.236059379087809600e-04                       Inf
29 349 1.081251e-01 2.578161e+00  1.082351001611935300e-04  1.082351001611935300e-04  1.146808062086560300e-04  1.256176556695825500e-04
